1, 6, 11, 8.00, 0.00, 0.00
2, 7, 12, 10.25, 35.87, 12.44
3, 8, 13, 4.53, 61.52, 11.22
4, 7, 12, 0.00, 70.45, 13.33
5, 6, 11, 0.00, 72.70, 13.24
6, 5, 10, 0.00, 82.76, 7.89
7, 4, 9, 0.00, 74.34, 5.68
8, 3, 8, 0.00, 69.01, 2.10
9, 2, 7, 0.00, 66.05, 0.32
10, 1, 6, 0.00, 60.53, 0.60
11, 0, 5, 6.26, 41.03, 4.61
12, 1, 6, 10.17, 47.86, 4.05
13, 2, 7, 14.87, 47.13, 7.57
14, 3, 8, 14.41, 55.11, 13.04
15, 4, 9, 13.87, 52.11, 14.71
16, 5, 10, 10.77, 73.75, 14.23
17, 6, 11, 6.77, 82.39, 12.69
18, 6, 12, 1.87, 80.23, 10.45
19, 5, 11, 0.00, 70.50, 3.76
20, 4, 10, 0.00, 82.02, 2.79
21, 3, 9, 0.00, 67.16, 0.00
22, 2, 8, 0.00, 62.89, 1.48
23, 1, 7, 1.59, 48.44, 3.23
24, 1, 6, 8.84, 43.28, 7.38
25, 2, 7, 16.16, 43.11, 7.62
26, 3, 8, 17.51, 50.82, 12.23
27, 4, 9, 15.34, 64.14, 14.39
28, 5, 10, 12.24, 70.45, 13.04
29, 6, 11, 8.24, 73.74, 11.96
30, 7, 12, 3.34, 78.23, 10.34
31, 6, 11, 0.00, 77.00, 4.35
32, 5, 10, 0.00, 83.72, 2.68
33, 4, 9, 0.00, 60.22, 0.00
34, 3, 8, 0.00, 51.41, 1.59
35, 2, 7, 3.37, 44.39, 4.64
36, 3, 6, 8.90, 37.38, 5.45
37, 4, 7, 15.19, 38.76, 8.60
38, 5, 8, 19.31, 36.07, 11.95
39, 6, 9, 15.37, 58.54, 13.36
40, 7, 10, 10.28, 66.69, 12.67
41, 8, 11, 4.28, 76.21, 11.09
42, 7, 12, 0.00, 83.19, 7.69
43, 6, 11, 0.00, 81.48, 7.17
44, 5, 10, 0.00, 72.98, 4.24
45, 4, 9, 0.00, 65.79, 2.65
46, 3, 8, 0.00, 54.57, 0.00
47, 2, 7, 3.77, 42.08, 3.94
48, 3, 6, 4.84, 50.44, 5.08
49, 4, 7, 9.25, 44.55, 7.33
50, 5, 8, 9.13, 50.16, 10.93
51, 6, 9, 6.57, 52.72, 12.82
52, 6, 10, 1.48, 72.94, 13.00
53, 5, 9, 0.00, 68.90, 11.41
54, 4, 8, 0.00, 73.97, 9.69
55, 3, 7, 0.00, 84.40, 6.32
56, 2, 6, 0.00, 79.23, 1.18
57, 1, 5, 0.00, 70.36, 1.78
58, 0, 4, 0.00, 59.54, 1.05
59, 0, 3, 5.13, 43.67, 2.87
60, 1, 4, 13.40, 39.59, 6.54
61, 2, 5, 18.36, 33.08, 10.41
62, 3, 6, 25.05, 37.34, 11.52
63, 4, 7, 26.08, 49.39, 12.93
64, 5, 8, 22.82, 62.80, 13.64
65, 6, 9, 18.62, 69.26, 12.28
66, 7, 10, 13.52, 80.63, 9.37
67, 8, 11, 7.52, 87.71, 7.08
68, 7, 12, 0.62, 81.23, 1.17
69, 6, 11, 0.00, 75.05, 0.00
70, 5, 10, 0.00, 50.96, 1.28
71, 4, 9, 0.00, 49.17, 2.57
72, 3, 8, 4.29, 37.55, 6.31
